Categoría_Principal,Subcategoría
Automotriz,Accesorios para vehículos y moticicletas
Automotriz,Repuestos y herramientas para vehículos y moticicletas
Automotriz,Mantenimiento de vehículos y moticicletas
Automotriz,Motos eléctricas
Automotriz,Bicicletas eléctricas
Automotriz,Motocicletas
Automotriz,Vehículos livianos
Automotriz,Vehículos pesados
Bebés y Maternidad,Ropa y accesorios para bebés
Bebés y Maternidad,Productos de cuidado infantil
Bebés y Maternidad,Juguetes para bebés
Bebés y Maternidad,Mobiliario infantil
Bebés y Maternidad,Pañales para bebés
Belleza y Cuidado Personal,Maquillaje
Belleza y Cuidado Personal,Productos para el cuidado de la piel
Belleza y Cuidado Personal,Fragancias
Belleza y Cuidado Personal,Productos para el cabello
Belleza y Cuidado Personal,Cuidado corporal
Bienes Raíces,Alquiler de propiedades
Bienes Raíces,Propiedades comerciales
Bienes Raíces,Servicios de inmobiliarias
Bienes Raíces,Mantenimiento y mejoras de propiedades
Correo y Logística,
Deportes y Outdoor,Equipamiento deportivo
Deportes y Outdoor,Ropa deportiva
Deportes y Outdoor,Calzado deportivo
Deportes y Outdoor,Bicicletas y scooters
Deportes y Outdoor,Equipamiento para camping y senderismo
Deportes y Outdoor,Deportes acuáticos
Educación y Capacitación,Cursos en línea
Educación y Capacitación,Cursos presenciales
Educación y Capacitación,Libros y materiales de estudio
Educación y Capacitación,Papelería
Educación y Capacitación,"Escuelas, Colegios y universidades"
Educación y Capacitación,Certificaciones y formación técnica
Educación y Capacitación,Herramientas de aprendizaje (software educativo)
Electrónica y Tecnología,Teléfonos móviles
Electrónica y Tecnología,Accesorios tecnológicos
Electrónica y Tecnología,Computadoras y laptops
Electrónica y Tecnología,Televisores y sistemas de audio
Electrónica y Tecnología,Gadgets y dispositivos inteligentes
Gasolineras,Venta de gasolina
Hogar y Decoración,Muebles
Hogar y Decoración,Artículos de cocina
Hogar y Decoración,Electrodomésticos
Hogar y Decoración,Decoración del hogar
Hogar y Decoración,Productos para jardín
Hogar y Decoración,Ferretería y construcción
Industria,"Actividades industriales, no contempla ferreterías"
Juegos y Videojuegos,Consolas de videojuegos
Juegos y Videojuegos,Videojuegos físicos y digitales
Juegos y Videojuegos,"Accesorios para juegos (controladores, audífonos)"
Juegos y Videojuegos,Servicios de streaming de videojuegos
Juguetes y Juegos,Juguetes para niños
Juguetes y Juegos,Juegos de mesa
Juguetes y Juegos,Juguetes educativos
Juguetes y Juegos,Rompecabezas
"Libros, Música y Entretenimiento",Libros físicos y electrónicos
"Libros, Música y Entretenimiento",Películas y series en streaming
"Libros, Música y Entretenimiento",Música y conciertos
"Libros, Música y Entretenimiento",Instrumentos musicales
"Libros, Música y Entretenimiento",Entradas y consumos en cines
"Libros, Música y Entretenimiento",Entradas y consumos en teatros
Licorerías y bodegas,Bebidas alcohólicas
Licorerías y bodegas,Tabaco
Licorerías y bodegas,Vinos y espumantes
Mascotas,Alimentos para mascotas
Mascotas,Juguetes para mascotas
Mascotas,Productos de cuidado para mascotas
Mascotas,Accesorios y muebles para mascotas
Mascotas,Salud y bienestar para mascotas
Moda y Accesorios,Ropa para mujeres
Moda y Accesorios,Ropa para hombres
Moda y Accesorios,Zapatos
Moda y Accesorios,Bolsos y carteras
Moda y Accesorios,Joyería y relojes
Restaurantes,Alimentos de restaurante
Restaurantes de comida rápida,Comida rápida
Salud y Bienestar,Productos hospitalarios
Salud y Bienestar,Medicinas e insumos médicos
Salud y Bienestar,Suplementos y vitaminas
Salud y Bienestar,Equipos de ejercicio
Salud y Bienestar,Productos de higiene personal
Servicios Financieros y Seguros,"Seguros (de salud, de vida, de auto, y otros)"
Servicios Financieros y Seguros,"Servicios bancarios (cuentas corrientes, tarjetas de crédito)"
Servicios Financieros y Seguros,Asesoría financiera
Servicios Profesionales,"Consultoría y asesoramiento (negocios, tecnología)"
Servicios Profesionales,Servicios legales
Servicios Profesionales,Marketing y publicidad
Servicios Profesionales,"Servicios de salud (médicos, dentistas, psicólogos)"
Servicios Profesionales,"Reparación y mantenimiento del hogar (plomería, electricidad)"
Servicios públicos,Empresas públicas de electricidad y agua potable
Supermercados,Alimentos frescos
Supermercados,Alimentos congelados
Supermercados,Snacks y golosinas
Supermercados,Bebidas sin alcohol
Telecomunicaciones y televisión por cable,Servicios de telefonía y tv
Viajes y Turismo,Boletos de avión
Viajes y Turismo,Boletos de transporte terrestre
Viajes y Turismo,Estancias en hoteles y alquileres vacacionales
Viajes y Turismo,Paquetes turísticos
Viajes y Turismo,"Actividades recreativas (excursiones, deportes extremos)"
Viajes y Turismo,Servicios de alquiler de autos
